dataset,instance,seed,checkpoint_s,score_at_checkpoint,progress_to_final_improvement
synthetic,input/synthetic/synthetic_60.txt,67,0,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,67,30,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,67,60,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,67,120,18665084.0,0.40355280942266847
synthetic,input/synthetic/synthetic_60.txt,67,300,18668173.0,1.0
synthetic,input/synthetic/synthetic_60.txt,67,600,18668173.0,1.0
synthetic,input/synthetic/synthetic_60.txt,12,0,18670402.0,
synthetic,input/synthetic/synthetic_60.txt,12,30,18670402.0,
synthetic,input/synthetic/synthetic_60.txt,12,60,18670402.0,
synthetic,input/synthetic/synthetic_60.txt,12,120,18670402.0,
synthetic,input/synthetic/synthetic_60.txt,12,300,18670402.0,
synthetic,input/synthetic/synthetic_60.txt,12,600,18670402.0,
synthetic,input/synthetic/synthetic_60.txt,1,0,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,1,30,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,1,60,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,1,120,18663596.0,0.07767741935483871
synthetic,input/synthetic/synthetic_60.txt,1,300,18668442.0,0.7029677419354838
synthetic,input/synthetic/synthetic_60.txt,1,600,18670744.0,1.0
synthetic,input/synthetic/synthetic_60.txt,23,0,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,23,30,18663563.0,0.0683155240725177
synthetic,input/synthetic/synthetic_60.txt,23,60,18665634.0,0.3169648217072878
synthetic,input/synthetic/synthetic_60.txt,23,120,18666702.0,0.4451914995797815
synthetic,input/synthetic/synthetic_60.txt,23,300,18668435.0,0.6532596950414216
synthetic,input/synthetic/synthetic_60.txt,23,600,18671323.0,1.0
synthetic,input/synthetic/synthetic_60.txt,34,0,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,34,30,18663714.0,1.0
synthetic,input/synthetic/synthetic_60.txt,34,60,18663714.0,1.0
synthetic,input/synthetic/synthetic_60.txt,34,120,18663714.0,1.0
synthetic,input/synthetic/synthetic_60.txt,34,300,18663714.0,1.0
synthetic,input/synthetic/synthetic_60.txt,34,600,18663714.0,1.0
synthetic,input/synthetic/synthetic_60.txt,78,0,18670402.0,0.0
synthetic,input/synthetic/synthetic_60.txt,78,30,18670402.0,0.0
synthetic,input/synthetic/synthetic_60.txt,78,60,18670515.0,1.0
synthetic,input/synthetic/synthetic_60.txt,78,120,18670515.0,1.0
synthetic,input/synthetic/synthetic_60.txt,78,300,18670515.0,1.0
synthetic,input/synthetic/synthetic_60.txt,78,600,18670515.0,1.0
synthetic,input/synthetic/synthetic_60.txt,45,0,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,45,30,18663236.0,0.015814926153443994
synthetic,input/synthetic/synthetic_60.txt,45,60,18663236.0,0.015814926153443994
synthetic,input/synthetic/synthetic_60.txt,45,120,18665400.0,0.15723434845118286
synthetic,input/synthetic/synthetic_60.txt,45,300,18673633.0,0.6952685923408705
synthetic,input/synthetic/synthetic_60.txt,45,600,18678296.0,1.0
synthetic,input/synthetic/synthetic_60.txt,56,0,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,56,30,18662994.0,0.0
