operator,runs,attempts,proxy_improved,exact_checked,accepted,rejected,mean_attempts_per_run,acceptance_rate,exact_acceptance_rate
sampled_best_exchange,100,655567,35674,35674,35674,619893,6555.67,0.05441701610971876,1.0
diversity_swap,100,876546,13091,38717,13091,863455,8765.46,0.014934755278102918,0.3381202055944417
swap_neighbor_libraries,100,369832,37215,119765,12031,357801,3698.32,0.032530987042765365,0.10045505782156723
move_signed,100,1109552,46508,197819,4111,1105441,11095.52,0.0037050989949096572,0.020781623605417073
remove_library,100,4839561,8644,21510,3043,4836518,48395.61,0.0006287760398102224,0.14146908414690842
swap_signed,100,1016254,30796,178825,2747,1013507,10162.54,0.002703064391382469,0.015361386830700405
swap_signed_with_unsigned,100,2768276,2643,8528,2612,2765664,27682.76,0.0009435475364450654,0.3062851782363977
insert_library,100,1899109,1191,534029,1183,1897926,18991.09,0.00062292369737598,0.0022152355021918283
reverse_segment,100,600701,11232,98667,1122,599579,6007.01,0.001867817766243106,0.011371583204110797
critical_path_insert,100,1210380,1029,294380,1029,1209351,12103.8,0.0008501462350666732,0.0034954820300292138
block_reinsert,100,878448,12957,140569,783,877665,8784.48,0.0008913447352603683,0.005570218184663759
coverage_exchange,100,992,0,0,421,571,9.92,0.42439516129032256,
paired_choice_flip,100,1016,0,0,176,840,10.16,0.1732283464566929,
