timestamp,elapsed_s,phase,round,current_score,best_score,event
1780561461.5279162,8.786736011505127,construction,0,12973556,12973556,initial
1780561461.5347426,0.0068056583404541016,initial_ls,0,12973556,12973556,skipped
1780561462.9265146,1.3985772132873535,ils,1,12984766,12984766,new_best
1780561464.3205402,2.792602777481079,ils,2,12993697,12993697,new_best
1780561465.7219348,4.193997621536255,ils,3,12994358,12994358,new_best
1780561467.1165404,5.588603496551514,ils,4,12998331,12998331,new_best
1780561468.5157545,6.987817287445068,ils,5,13000880,13000880,new_best
1780561468.5197437,6.991806268692017,ils,5,13000880,13000880,status
1780561469.920848,8.392910718917847,ils,6,13004483,13004483,new_best
1780561471.3192456,9.791308641433716,ils,7,13004939,13004939,new_best
1780561472.7228227,11.194885015487671,ils,8,13006472,13006472,new_best
1780561474.0856843,12.557746887207031,ils,9,13006632,13006632,new_best
1780561475.4840562,13.956119060516357,ils,10,13006927,13006927,new_best
1780561475.4902837,13.96234655380249,ils,10,13006927,13006927,status
1780561476.8499746,15.322037696838379,ils,11,13007557,13007557,new_best
1780561478.208037,16.680099964141846,ils,12,13007830,13007830,new_best
1780561479.57634,18.048403024673462,ils,13,13008022,13008022,new_best
1780561480.9425323,19.414595127105713,ils,14,13008192,13008192,new_best
1780561482.3093562,20.781419277191162,ils,15,13008851,13008851,new_best
1780561482.315613,20.787675857543945,ils,15,13008851,13008851,status
1780561483.672178,22.144240856170654,ils,16,13008969,13008969,new_best
1780561485.0800653,23.552128076553345,ils,17,13009143,13009143,new_best
1780561486.443982,24.91604495048523,ils,18,13009392,13009392,new_best
1780561487.8120205,26.284083366394043,ils,19,13009405,13009405,new_best
1780561489.1699626,27.642025470733643,ils,20,13009885,13009885,new_best
1780561489.1754158,27.647478580474854,ils,20,13009885,13009885,status
1780561490.576337,29.048400402069092,ils,21,13010025,13010025,new_best
1780561496.0568192,34.528881788253784,ils,25,13009809,13010025,status
1780561501.495359,39.967421770095825,ils,29,13010051,13010051,new_best
1780561502.9031951,41.37525773048401,ils,30,13010328,13010328,new_best
1780561502.9093318,41.381394386291504,ils,30,13010328,13010328,status
1780561509.7980769,48.27013969421387,ils,35,13010666,13010666,new_best
1780561509.8052037,48.27726674079895,ils,35,13010666,13010666,status
1780561511.1620674,49.634130239486694,ils,36,13011344,13011344,new_best
1780561512.5163653,50.98842787742615,ils,37,13011567,13011567,new_best
1780561513.877,52.3490629196167,ils,38,13011568,13011568,new_best
1780561516.6490023,55.12106490135193,ils,40,13011537,13011568,status
1780561523.5163236,61.988386154174805,ils,45,13011543,13011568,status
1780561526.236031,64.70809364318848,ils,47,13011617,13011617,new_best
1780561530.3170822,68.78914499282837,ils,50,13011626,13011626,new_best
1780561530.3238337,68.79589653015137,ils,50,13011626,13011626,status
1780561533.0343997,71.5064628124237,ils,52,13011632,13011632,new_best
1780561534.3965478,72.86861062049866,ils,53,13011640,13011640,new_best
1780561537.1249666,75.59702968597412,ils,55,13011765,13011765,new_best
1780561537.1319392,75.60400199890137,ils,55,13011765,13011765,status
1780561538.5389302,77.0109932422638,ils,56,13012075,13012075,new_best
1780561539.898469,78.37053155899048,ils,57,13012152,13012152,new_best
1780561542.6265378,81.09860038757324,ils,59,13012161,13012161,new_best
1780561543.9903266,82.46238946914673,ils,60,13012271,13012271,new_best
1780561543.997545,82.46960806846619,ils,60,13012271,13012271,status
1780561546.718289,85.19035148620605,ils,62,13012277,13012277,new_best
1780561548.0838144,86.55587720870972,ils,63,13012279,13012279,new_best
1780561549.4426632,87.91472625732422,ils,64,13012280,13012280,new_best
1780561550.8100605,89.28212332725525,ils,65,13012405,13012405,new_best
1780561550.8172293,89.28929233551025,ils,65,13012405,13012405,status
1780561552.1701443,90.64220714569092,ils,66,13012406,13012406,new_best
1780561554.8974497,93.36951231956482,ils,68,13012520,13012520,new_best
1780561557.6243021,96.09636497497559,ils,70,13012520,13012520,status
1780561561.6991572,100.17122006416321,ils,73,13012521,13012521,new_best
1780561564.4284594,102.90052247047424,ils,75,13012518,13012521,status
1780561567.1460097,105.6180727481842,ils,77,13012525,13012525,new_best
1780561569.8744469,108.34650993347168,ils,79,13012555,13012555,new_best
1780561571.2353833,109.70744633674622,ils,80,13012569,13012569,new_best
1780561571.243487,109.7155499458313,ils,80,13012569,13012569,status
1780561572.6040266,111.07608962059021,ils,81,13012583,13012583,new_best
1780561575.332033,113.80409598350525,ils,83,13012591,13012591,new_best
1780561576.6949613,115.16702461242676,ils,84,13012601,13012601,new_best
1780561578.1046505,116.57671356201172,ils,85,13012657,13012657,new_best
1780561578.1118033,116.5838668346405,ils,85,13012657,13012657,status
1780561579.4662018,117.93826484680176,ils,86,13012680,13012680,new_best
1780561580.8346353,119.30669808387756,ils,87,13012739,13012739,new_best
1780561582.2013967,120.67345976829529,ils,88,13012801,13012801,new_best
1780561583.5633461,122.03540873527527,ils,89,13012845,13012845,new_best
1780561584.9317274,123.40379071235657,ils,90,13012861,13012861,new_best
1780561584.93795,123.41001319885254,ils,90,13012861,13012861,status
1780561586.2948365,124.7668993473053,ils,91,13012875,13012875,new_best
1780561591.73211,130.20417284965515,ils,95,13012708,13012875,status
1780561598.5319607,137.0040237903595,ils,100,13012718,13012875,status
1780561602.6166723,141.0887348651886,ils,103,13012894,13012894,new_best
1780561603.9818344,142.4538972377777,ils,104,13012981,13012981,new_best
1780561605.3489347,143.82099795341492,ils,105,13012999,13012999,new_best
1780561605.355604,143.82766699790955,ils,105,13012999,13012999,status
1780561606.7076352,145.1796977519989,ils,106,13013002,13013002,new_best
1780561612.1633697,150.6354329586029,ils,110,13012952,13013002,status
1780561618.9672587,157.43932127952576,ils,115,13013072,13013072,new_best
1780561618.9746504,157.44671320915222,ils,115,13013072,13013072,status
1780561621.7002444,160.1723072528839,ils,117,13013216,13013216,new_best
1780561625.7929254,164.2649884223938,ils,120,13013222,13013222,new_best
1780561625.800276,164.27233910560608,ils,120,13013222,13013222,status
1780561627.1601465,165.63220930099487,ils,121,13013307,13013307,new_best
1780561632.6533594,171.12542271614075,ils,125,13013322,13013322,new_best
1780561632.660374,171.13243746757507,ils,125,13013322,13013322,status
1780561639.4681978,177.94026064872742,ils,130,13013306,13013322,status
1780561640.8261168,179.29817962646484,ils,131,13013407,13013407,new_best
1780561642.191113,180.66317582130432,ils,132,13013461,13013461,new_best
1780561646.275259,184.74732184410095,ils,135,13013442,13013461,status
1780561653.068845,191.54090785980225,ils,140,13012949,13013461,status
1780561659.8685272,198.3405900001526,ils,145,13013161,13013461,status
1780561666.669111,205.1411736011505,ils,150,13013246,13013461,status
1780561673.453117,211.9251799583435,ils,155,13013709,13013709,new_best
1780561673.4603243,211.93238759040833,ils,155,13013709,13013709,status
1780561680.2609699,218.73303294181824,ils,160,13013463,13013709,status
1780561687.055461,225.52752351760864,ils,165,13013441,13013709,status
1780561693.8469687,232.3190314769745,ils,170,13013500,13013709,status
1780561700.6464446,239.11850714683533,ils,175,13013484,13013709,status
1780561707.4278083,245.89987087249756,ils,180,13013449,13013709,status
1780561714.219727,252.69178986549377,ils,185,13013539,13013709,status
1780561721.0555558,259.5276188850403,ils,190,13012947,13013709,status
1780561727.8501003,266.3221628665924,ils,195,13013070,13013709,status
1780561734.6533499,273.12541246414185,ils,200,13013005,13013709,status
1780561741.4351437,279.9072070121765,ils,205,13012972,13013709,status
1780561748.2215672,286.6936297416687,ils,210,13013176,13013709,status
1780561755.013862,293.48592495918274,ils,215,13013294,13013709,status
1780561761.8490012,300.32106375694275,ils,220,13013682,13013709,status
1780561768.6458962,307.1179597377777,ils,225,13012949,13013709,status
1780561775.438311,313.91037368774414,ils,230,13013019,13013709,status
1780561782.2349498,320.70701265335083,ils,235,13013372,13013709,status
1780561789.0310504,327.5031132698059,ils,240,13013410,13013709,status
1780561795.8160193,334.28808212280273,ils,245,13013685,13013709,status
1780561797.1683846,335.64044713974,ils,246,13013867,13013867,new_best
1780561801.255272,339.72733426094055,ils,249,13013882,13013882,new_best
1780561802.6213546,341.09341740608215,ils,250,13013849,13013882,status
1780561803.978633,342.45069575309753,ils,251,13013896,13013896,new_best
1780561809.4312222,347.9032847881317,ils,255,13013813,13013896,status
1780561816.2221515,354.6942141056061,ils,260,13013553,13013896,status
1780561823.0282307,361.5002934932709,ils,265,13013369,13013896,status
1780561829.8346376,368.3067009449005,ils,270,13013592,13013896,status
1780561836.645635,375.11769795417786,ils,275,13013878,13013896,status
1780561843.454876,381.9269390106201,ils,280,13013821,13013896,status
1780561850.2403114,388.7123739719391,ils,285,13013772,13013896,status
1780561857.050917,395.5229799747467,ils,290,13013894,13013896,status
1780561863.8635867,402.33564925193787,ils,295,13013852,13013896,status
1780561870.678244,409.15030694007874,ils,300,13013754,13013896,status
1780561877.4738178,415.945880651474,ils,305,13013526,13013896,status
1780561884.2694793,422.7415418624878,ils,310,13013510,13013896,status
1780561891.075284,429.54734659194946,ils,315,13013620,13013896,status
1780561897.8553946,436.32745718955994,ils,320,13013383,13013896,status
1780561904.6568184,443.1288814544678,ils,325,13013257,13013896,status
1780561911.4420748,449.91413831710815,ils,330,13012979,13013896,status
1780561918.2406125,456.71267533302307,ils,335,13013039,13013896,status
1780561925.0605662,463.5326290130615,ils,340,13013725,13013896,status
1780561931.9484649,470.4205274581909,ils,345,13013342,13013896,status
1780561938.7451859,477.217248916626,ils,350,13013323,13013896,status
1780561945.5359685,484.00803112983704,ils,355,13013241,13013896,status
1780561952.3300765,490.802139043808,ils,360,13013399,13013896,status
1780561959.1329398,497.60500288009644,ils,365,13013346,13013896,status
1780561965.9187765,504.3908393383026,ils,370,13013392,13013896,status
1780561972.7345903,511.20665287971497,ils,375,13013257,13013896,status
1780561979.5568411,518.0289037227631,ils,380,13013394,13013896,status
1780561986.3496299,524.821692943573,ils,385,13013352,13013896,status
1780561993.1442893,531.6163518428802,ils,390,13013432,13013896,status
1780561999.936839,538.4089024066925,ils,395,13013509,13013896,status
1780562006.7215683,545.1936314105988,ils,400,13013599,13013896,status
1780562013.5079224,551.9799852371216,ils,405,13013949,13013949,new_best
1780562013.5155447,551.9876074790955,ils,405,13013949,13013949,status
1780562020.3134289,558.7854919433594,ils,410,13013884,13013949,status
1780562027.1033597,565.5754227638245,ils,415,13013883,13013949,status
1780562033.8916771,572.3637406826019,ils,420,13013884,13013949,status
1780562040.6746442,579.1467068195343,ils,425,13013908,13013949,status
1780562047.4046683,585.87673163414,ils,430,13013915,13013949,status
1780562052.4650269,590.9370896816254,ils,435,13013950,13013950,new_best
1780562052.4714005,590.9434630870819,ils,435,13013950,13013950,status
1780562054.6728446,593.1449072360992,ils,438,13013977,13013977,new_best
1780562055.2797053,593.7517681121826,ils,439,13013978,13013978,new_best
1780562055.8349333,594.3069958686829,ils,440,13013978,13013978,status
1780562058.057214,596.5292768478394,ils,445,13014005,13014005,new_best
1780562058.0635362,596.53559923172,ils,445,13014005,13014005,status
1780562058.3960724,596.8681352138519,ils,446,13014019,13014019,new_best
1780562059.5085235,597.9805860519409,ils,450,13014019,13014019,status
1780562059.7618244,598.2338871955872,ils,451,13014025,13014025,new_best
1780562059.9564793,598.4285418987274,ils,452,13014028,13014028,new_best
1780562060.497726,598.9697885513306,ils,455,13013644,13014028,status
1780562061.0930278,599.5650904178619,ils,460,13013610,13014028,status
1780562061.4192178,599.8912801742554,restart,1,12450049,13014028,restart
1780562061.5771375,600.0491960048676,final,462,13014028,13014028,done_round_452
