timestamp,elapsed_s,phase,round,current_score,best_score,event
1780564587.1448233,17.370902061462402,construction,0,60713936,60713936,initial
1780564587.149871,0.005026578903198242,initial_ls,0,60713936,60713936,skipped
1780564588.8663595,1.721515417098999,ils,1,60961958,60961958,new_best
1780564595.6174603,8.472615480422974,ils,5,60961958,60961958,status
1780564604.1843483,17.039504051208496,ils,10,60961958,60961958,status
1780564605.861863,18.717017889022827,restart,1,60498428,60961958,restart
1780564616.2983744,29.153529405593872,restart,2,60961958,60961958,restart
1780564617.9663312,30.821486711502075,ils,15,60961958,60961958,status
1780564626.3857212,39.24087715148926,ils,20,60961958,60961958,status
1780564633.3538122,46.208967208862305,restart,3,60961958,60961958,restart
1780564636.581729,49.43688464164734,ils,25,60961958,60961958,status
1780564644.8798814,57.735037088394165,ils,30,60961958,60961958,status
1780564650.0697567,62.92491173744202,restart,4,58991524,60961958,restart
1780564655.902397,68.7575523853302,ils,35,60498428,60961958,status
1780564681.4521139,94.30726861953735,restart,5,60961958,60961958,restart
1780564683.0659792,95.92113471031189,ils,40,60961958,60961958,status
1780564691.233329,104.08848476409912,ils,45,60961958,60961958,status
1780564698.0465434,110.9016981124878,restart,6,60961958,60961958,restart
1780564701.3687384,114.22389388084412,ils,50,60961958,60961958,status
1780564709.8027513,122.65790700912476,ils,55,60961958,60961958,status
1780564714.944966,127.80012106895447,restart,7,59788950,60961958,restart
1780564721.9682481,134.82340383529663,ils,60,60608703,60961958,status
1780564741.0217288,153.87688374519348,restart,8,60961958,60961958,restart
1780564747.5181427,160.37329816818237,ils,65,60961958,60961958,status
1780564756.3205051,169.17566061019897,ils,70,60961958,60961958,status
1780564758.125449,170.98060369491577,restart,9,60961958,60961958,restart
1780564766.2771661,179.1323218345642,ils,75,60961958,60961958,status
1780564774.6127992,187.46795392036438,restart,10,60961958,60961958,restart
1780564776.2650921,189.12024760246277,ils,80,60961958,60961958,status
1780564784.5091472,197.36430287361145,ils,85,60961958,60961958,status
1780564791.4356823,204.29083704948425,restart,11,60961958,60961958,restart
1780564794.706608,207.56176328659058,ils,90,60961958,60961958,status
1780564803.0759695,215.93112468719482,ils,95,60961958,60961958,status
1780564823.2501757,236.10533046722412,restart,12,60961958,60961958,restart
1780564828.3165767,241.17173194885254,ils,100,60961958,60961958,status
1780564836.3799515,249.23510694503784,ils,105,60961958,60961958,status
1780564854.578111,267.43326592445374,restart,13,60961958,60961958,restart
1780564861.096099,273.9512541294098,ils,110,60961958,60961958,status
1780564869.1600535,282.01520895957947,ils,115,60961958,60961958,status
1780564885.912538,298.7676930427551,restart,14,60961958,60961958,restart
1780564894.1319704,306.98712611198425,ils,120,60961958,60961958,status
1780564902.612702,315.4678566455841,restart,15,60961958,60961958,restart
1780564904.233506,317.0886616706848,ils,125,60961958,60961958,status
1780564912.4076254,325.2627809047699,ils,130,60961958,60961958,status
1780564919.2526815,332.10783648490906,restart,16,60961958,60961958,restart
1780564922.524741,335.37989687919617,ils,135,60961958,60961958,status
1780564931.5078418,344.3629970550537,ils,140,60961958,60961958,status
1780564951.80628,364.6614348888397,restart,17,60961958,60961958,restart
1780564956.7443128,369.5994679927826,ils,145,60961958,60961958,status
1780564964.9707208,377.8258967399597,ils,150,60961958,60961958,status
1780564968.5821998,381.4373548030853,restart,18,60961958,60961958,restart
1780564975.0430677,387.8982229232788,ils,155,60961958,60961958,status
1780564983.1799135,396.03506875038147,ils,160,60961958,60961958,status
1780564985.0129285,397.86808347702026,restart,19,60961958,60961958,restart
1780564993.4723978,406.3275532722473,ils,165,60961958,60961958,status
1780565001.8592494,414.7144043445587,restart,20,60961958,60961958,restart
1780565003.5192423,416.3743975162506,ils,170,60961958,60961958,status
1780565011.7331529,424.5883083343506,ils,175,60961958,60961958,status
1780565018.5426886,431.3978433609009,restart,21,60961958,60961958,restart
1780565021.857197,434.71235251426697,ils,180,60961958,60961958,status
1780565030.3588145,443.2139701843262,ils,185,60961958,60961958,status
1780565035.4282482,448.2834029197693,restart,22,60961958,60961958,restart
1780565040.3440714,453.1992268562317,ils,190,60961958,60961958,status
1780565048.4561653,461.31132078170776,ils,195,60961958,60961958,status
1780565066.6862135,479.5413682460785,restart,23,60961958,60961958,restart
1780565073.5453615,486.4005169868469,ils,200,60961958,60961958,status
1780565081.7792158,494.6343719959259,ils,205,60961958,60961958,status
1780565083.5979316,496.45308661460876,restart,24,60605984,60961958,restart
1780565093.9995704,506.8547258377075,ils,210,60961958,60961958,status
1780565105.937424,518.7925786972046,ils,215,60961958,60961958,status
1780565117.0487297,529.9038846492767,restart,25,60961958,60961958,restart
1780565118.6836874,531.5388429164886,ils,220,60961958,60961958,status
1780565126.8373334,539.6924886703491,ils,225,60961958,60961958,status
1780565143.3071916,556.1623463630676,restart,26,60961958,60961958,restart
1780565146.695481,559.5506365299225,ils,230,60961958,60961958,status
1780565155.026764,567.8819196224213,ils,235,60961958,60961958,status
1780565160.415339,573.2704939842224,restart,27,54176123,60961958,restart
1780565167.7895696,580.6447253227234,ils,240,58969448,60961958,status
1780565177.8982687,590.7534244060516,ils,245,59976951,60961958,status
1780565182.3300612,595.1852164268494,restart,28,47636814,60961958,restart
1780565186.3493004,599.2044558525085,ils,250,52939248,60961958,status
1780565187.292171,600.1473197937012,final,251,60961958,60961958,done_round_1
