timestamp,elapsed_s,phase,round,current_score,best_score,event
1780560176.612025,100.5858051776886,construction,0,18662994,18662994,initial
1780560176.614342,0.002298116683959961,initial_ls,0,18662994,18662994,skipped
1780560180.3303237,3.7182798385620117,ils,5,18661472,18662994,status
1780560184.4883535,7.876310110092163,ils,10,18662994,18662994,status
1780560189.0897424,12.477698802947998,ils,15,18661275,18662994,status
1780560193.242556,16.630512952804565,ils,20,18663165,18663165,new_best
1780560193.24809,16.636046171188354,ils,20,18663165,18663165,status
1780560197.81152,21.19947648048401,ils,25,18663115,18663165,status
1780560202.8809202,26.268876314163208,ils,30,18663236,18663236,new_best
1780560202.8867552,26.27471160888672,ils,30,18663236,18663236,status
1780560206.9560652,30.344021797180176,ils,35,18661393,18663236,status
1780560210.720801,34.10875725746155,ils,40,18662071,18663236,status
1780560214.8739493,38.26190543174744,ils,45,18661923,18663236,status
1780560218.2132366,41.60119271278381,ils,50,18661967,18663236,status
1780560222.8101945,46.198150634765625,ils,55,18661923,18663236,status
1780560227.0117786,50.39973497390747,ils,60,18660353,18663236,status
1780560231.1712837,54.559239864349365,ils,65,18661923,18663236,status
1780560236.1485176,59.536473989486694,ils,70,18661923,18663236,status
1780560240.757184,64.14514017105103,ils,75,18660903,18663236,status
1780560245.3643124,68.75226855278015,ils,80,18660812,18663236,status
1780560249.8598185,73.24777460098267,ils,85,18661103,18663236,status
1780560253.5544868,76.94244265556335,ils,90,18660326,18663236,status
1780560258.1413758,81.52933239936829,ils,95,18659658,18663236,status
1780560259.1220033,82.50995969772339,ils,96,18664171,18664171,new_best
1780560261.1624272,84.55038356781006,ils,98,18664608,18664608,new_best
1780560262.1584663,85.54642248153687,ils,99,18665400,18665400,new_best
1780560262.7531233,86.14107942581177,ils,100,18665400,18665400,status
1780560267.3510215,90.73897767066956,ils,105,18663953,18665400,status
1780560271.1006973,94.48865365982056,ils,110,18662794,18665400,status
1780560272.8623734,96.25032925605774,restart,1,18665400,18665400,restart
1780560276.8715556,100.25951170921326,ils,115,18664171,18665400,status
1780560280.6056519,103.99360799789429,ils,120,18664171,18665400,status
1780560285.1600604,108.54801678657532,ils,125,18664362,18665400,status
1780560289.306757,112.69471311569214,ils,130,18665297,18665400,status
1780560293.4439588,116.83191466331482,ils,135,18663868,18665400,status
1780560297.2184098,120.60636615753174,ils,140,18664608,18665400,status
1780560301.3869197,124.77487587928772,ils,145,18664362,18665400,status
1780560305.1140943,128.50205039978027,ils,150,18664171,18665400,status
1780560306.9055908,130.29354643821716,restart,2,18665400,18665400,restart
1780560310.0672312,133.45518708229065,ils,155,18664211,18665400,status
1780560314.606181,137.9941370487213,ils,160,18664608,18665400,status
1780560318.3363702,141.7243263721466,ils,165,18661930,18665400,status
1780560321.656105,145.04406118392944,ils,170,18662384,18665400,status
1780560325.8405967,149.22855281829834,ils,175,18665140,18665400,status
1780560330.0290885,153.41704487800598,ils,180,18665140,18665400,status
