timestamp,elapsed_s,phase,round,current_score,best_score,event
1780566441.7737164,14.209613800048828,construction,0,5039450,5039450,initial
1780566441.7937155,0.01997828483581543,initial_ls,0,5039450,5039450,skipped
1780566448.3206928,6.546955585479736,ils,2,5068180,5068180,new_best
1780566449.1793685,7.405630826950073,ils,3,5069805,5069805,new_best
1780566454.968972,13.195234775543213,ils,4,5072340,5072340,new_best
1780566460.6163187,18.842581272125244,ils,5,5075005,5075005,new_best
1780566460.6566033,18.882866144180298,ils,5,5075005,5075005,status
1780566461.7981474,20.024410009384155,ils,6,5077345,5077345,new_best
1780566472.7299805,30.95624279975891,ils,8,5077865,5077865,new_best
1780566478.1929383,36.419201374053955,ils,9,5078710,5078710,new_best
1780566479.3449306,37.57119274139404,ils,10,5080790,5080790,new_best
1780566479.3845391,37.610801696777344,ils,10,5080790,5080790,status
1780566480.3415985,38.56786108016968,ils,11,5081635,5081635,new_best
1780566496.4700236,54.69628620147705,ils,14,5081960,5081960,new_best
1780566501.981314,60.207576513290405,ils,15,5082740,5082740,new_best
1780566502.0226865,60.24894905090332,ils,15,5082740,5082740,status
1780566502.8012009,61.02746319770813,ils,16,5083585,5083585,new_best
1780566503.9497936,62.17605638504028,ils,17,5085080,5085080,new_best
1780566520.06546,78.29172253608704,ils,20,5085080,5085080,status
1780566531.0380101,89.26427245140076,ils,22,5085210,5085210,new_best
1780566536.5704222,94.79668474197388,ils,23,5085730,5085730,new_best
1780566542.1734784,100.39974069595337,ils,24,5086120,5086120,new_best
1780566547.8494782,106.0757405757904,ils,25,5087030,5087030,new_best
1780566548.154219,106.38048148155212,ils,25,5087030,5087030,status
1780566554.3644075,112.59067010879517,ils,27,5087615,5087615,new_best
1780566555.1007395,113.32700181007385,ils,28,5087680,5087680,new_best
1780566561.0307693,119.25703167915344,ils,29,5087745,5087745,new_best
1780566566.7067158,124.93297863006592,ils,30,5087745,5087745,status
1780566572.160301,130.38656401634216,ils,31,5087810,5087810,new_best
1780566588.973817,147.20007991790771,ils,35,5088005,5088005,new_best
1780566589.0158715,147.2421338558197,ils,35,5088005,5088005,status
1780566594.836663,153.06292629241943,ils,36,5088720,5088720,new_best
1780566595.7127285,153.93899130821228,ils,37,5089370,5089370,new_best
1780566601.3763041,159.6025664806366,ils,38,5089435,5089435,new_best
1780566612.724932,170.95119428634644,ils,40,5089435,5089435,status
1780566634.2252133,192.45147585868835,ils,44,5089500,5089500,new_best
1780566639.7855175,198.01178002357483,ils,45,5089500,5089500,status
1780566640.6018019,198.8280646800995,ils,46,5089630,5089630,new_best
1780566646.3630917,204.5893542766571,ils,48,5089695,5089695,new_best
1780566652.3500347,210.57629704475403,ils,50,5089760,5089760,new_best
1780566652.388267,210.6145293712616,ils,50,5089760,5089760,status
1780566674.6980557,232.92431831359863,ils,54,5089825,5089825,new_best
1780566680.0927489,238.31901144981384,ils,55,5089825,5089825,status
1780566685.559503,243.78576564788818,ils,56,5090085,5090085,new_best
1780566691.1154032,249.3416657447815,ils,57,5090345,5090345,new_best
1780566696.4523635,254.67862582206726,ils,58,5090410,5090410,new_best
1780566697.5069191,255.73318123817444,ils,59,5091385,5091385,new_best
1780566702.893541,261.1198036670685,ils,60,5091385,5091385,status
1780566703.618384,261.84464621543884,ils,61,5091450,5091450,new_best
1780566726.0069861,284.2332489490509,ils,65,5091450,5091450,status
1780566726.984839,285.211101770401,ils,66,5091580,5091580,new_best
1780566744.4306507,302.6569130420685,ils,70,5091580,5091580,status
1780566766.6362224,324.86248540878296,ils,75,5091580,5091580,status
1780566785.729465,343.95572662353516,restart,1,5091125,5091580,restart
1780566786.6415057,344.86776852607727,ils,76,5092035,5092035,new_best
1780566792.500376,350.7266387939453,ils,77,5092100,5092100,new_best
1780566808.4980392,366.7243015766144,ils,80,5092100,5092100,status
1780566825.7692516,383.9955139160156,ils,85,5092100,5092100,status
1780566846.1233134,404.3495750427246,restart,2,5041400,5092100,restart
1780566863.1502,421.3764624595642,ils,90,5092360,5092360,new_best
1780566863.1943312,421.4205937385559,ils,90,5092360,5092360,status
1780566868.606253,426.83251571655273,ils,91,5092425,5092425,new_best
1780566869.648434,427.8747088909149,ils,92,5092490,5092490,new_best
1780566876.443687,434.6699492931366,ils,95,5092490,5092490,status
1780566903.5460956,461.7723581790924,ils,100,5092490,5092490,status
1780566904.461267,462.68752932548523,ils,101,5092555,5092555,new_best
1780566917.0893674,475.31562972068787,ils,105,5092555,5092555,status
1780566939.3705702,497.5968337059021,ils,110,5092555,5092555,status
1780566944.7300127,502.95627450942993,restart,3,5092035,5092555,restart
1780566961.9219358,520.1481986045837,ils,114,5092880,5092880,new_best
1780566967.4848955,525.7111577987671,ils,115,5092945,5092945,new_best
1780566967.5325484,525.7588114738464,ils,115,5092945,5092945,status
1780566990.1911018,548.417364358902,ils,120,5092945,5092945,status
1780567012.9374795,571.163741350174,restart,4,5040425,5092945,restart
1780567018.4146433,576.6409056186676,ils,125,5040425,5092945,status
1780567036.7745626,595.0008251667023,ils,130,5092490,5092945,status
1780567041.8475897,600.0738496780396,final,131,5092945,5092945,done_round_115
