timestamp,elapsed_s,phase,round,current_score,best_score,event
1780565826.0987802,11.728033781051636,construction,0,5222608,5222608,initial
1780565826.1000652,0.0012664794921875,initial_ls,0,5222608,5222608,skipped
1780565827.0657642,0.9669656753540039,ils,1,5223914,5223914,new_best
1780565828.0700347,1.971236228942871,ils,2,5225588,5225588,new_best
1780565829.0354178,2.936619281768799,ils,3,5227525,5227525,new_best
1780565829.9923284,3.8935303688049316,ils,4,5228614,5228614,new_best
1780565830.9448998,4.8461012840271,ils,5,5229069,5229069,new_best
1780565830.9489703,4.85017204284668,ils,5,5229069,5229069,status
1780565831.9658024,5.867003917694092,ils,6,5229648,5229648,new_best
1780565832.931552,6.832753419876099,ils,7,5230465,5230465,new_best
1780565833.8966348,7.7978363037109375,ils,8,5232066,5232066,new_best
1780565834.8643436,8.765545129776001,ils,9,5233651,5233651,new_best
1780565835.8768067,9.778008222579956,ils,10,5234757,5234757,new_best
1780565835.8816407,9.78284239768982,ils,10,5234757,5234757,status
1780565836.8878753,10.789077043533325,ils,11,5235280,5235280,new_best
1780565837.84703,11.748231649398804,ils,12,5235625,5235625,new_best
1780565838.8035152,12.704716682434082,ils,13,5235698,5235698,new_best
1780565839.8136504,13.71485185623169,ils,14,5235724,5235724,new_best
1780565840.8138127,14.715014219284058,ils,15,5235857,5235857,new_best
1780565840.818564,14.719765663146973,ils,15,5235857,5235857,status
1780565841.7745337,15.675734996795654,ils,16,5235984,5235984,new_best
1780565842.7383308,16.639532327651978,ils,17,5236333,5236333,new_best
1780565843.7114007,17.61260199546814,ils,18,5236607,5236607,new_best
1780565844.7234266,18.62462830543518,ils,19,5237038,5237038,new_best
1780565845.7347872,19.63598918914795,ils,20,5237236,5237236,new_best
1780565845.739825,19.641026735305786,ils,20,5237236,5237236,status
1780565846.7072499,20.60845136642456,ils,21,5237527,5237527,new_best
1780565847.7205532,21.62175440788269,ils,22,5237538,5237538,new_best
1780565848.6798408,22.581042289733887,ils,23,5237636,5237636,new_best
1780565849.6367743,23.537976026535034,ils,24,5237669,5237669,new_best
1780565850.6432436,24.544445037841797,ils,25,5237895,5237895,new_best
1780565850.6481946,24.549396276474,ils,25,5237895,5237895,status
1780565851.6566439,25.5578453540802,ils,26,5238120,5238120,new_best
1780565853.5995104,27.500712156295776,ils,28,5238128,5238128,new_best
1780565854.6038258,28.505027532577515,ils,29,5238252,5238252,new_best
1780565855.5767262,29.477927684783936,ils,30,5238286,5238286,new_best
1780565855.5809848,29.482186317443848,ils,30,5238286,5238286,status
1780565856.600907,30.502108812332153,ils,31,5238397,5238397,new_best
1780565857.5669801,31.468181610107422,ils,32,5238407,5238407,new_best
1780565858.5952854,32.496487855911255,ils,33,5238436,5238436,new_best
1780565859.618186,33.5193874835968,ils,34,5238610,5238610,new_best
1780565860.5882466,34.48944854736328,ils,35,5238576,5238610,status
1780565865.5400481,39.44124984741211,ils,40,5238628,5238628,new_best
1780565865.5444734,39.44567513465881,ils,40,5238628,5238628,status
1780565866.5539074,40.45510911941528,ils,41,5238636,5238636,new_best
1780565867.5553243,41.45652627944946,ils,42,5238673,5238673,new_best
1780565868.5782611,42.47946286201477,ils,43,5238707,5238707,new_best
1780565869.600801,43.50200271606445,ils,44,5238745,5238745,new_best
1780565870.6086104,44.509812116622925,ils,45,5238815,5238815,new_best
1780565870.613521,44.51472282409668,ils,45,5238815,5238815,status
1780565871.628264,45.52946591377258,ils,46,5238849,5238849,new_best
1780565875.5715668,49.47276830673218,ils,50,5238963,5238963,new_best
1780565875.5765934,49.477794885635376,ils,50,5238963,5238963,status
1780565880.572541,54.47374248504639,ils,55,5238844,5238963,status
1780565883.5131328,57.414334297180176,ils,58,5238969,5238969,new_best
1780565885.4478347,59.349036693573,ils,60,5238952,5238969,status
1780565887.3711154,61.27231740951538,ils,62,5238984,5238984,new_best
1780565888.3845158,62.28571701049805,ils,63,5239022,5239022,new_best
1780565889.3995655,63.30076742172241,ils,64,5239032,5239032,new_best
1780565890.3654912,64.26669239997864,ils,65,5239108,5239108,new_best
1780565890.3696017,64.2708032131195,ils,65,5239108,5239108,status
1780565891.3726768,65.27387857437134,ils,66,5239132,5239132,new_best
1780565894.3273273,68.22852873802185,ils,69,5239135,5239135,new_best
1780565895.3058212,69.20702266693115,ils,70,5239103,5239135,status
1780565897.307511,71.2087128162384,ils,72,5239136,5239136,new_best
1780565898.323391,72.22459244728088,ils,73,5239151,5239151,new_best
1780565900.30546,74.20666170120239,ils,75,5239150,5239151,status
1780565901.2562544,75.15745568275452,ils,76,5239170,5239170,new_best
1780565902.2233443,76.12454581260681,ils,77,5239190,5239190,new_best
1780565905.1096933,79.0108950138092,ils,80,5239157,5239190,status
1780565906.123973,80.02517437934875,ils,81,5239191,5239191,new_best
1780565907.0973678,80.99856972694397,ils,82,5239221,5239221,new_best
1780565909.0297563,82.93095827102661,ils,84,5239258,5239258,new_best
1780565910.0017495,83.90295147895813,ils,85,5239230,5239258,status
1780565914.8465307,88.74773240089417,ils,90,5239250,5239258,status
1780565917.7786949,91.67989683151245,ils,93,5239287,5239287,new_best
1780565919.7556028,93.65680432319641,ils,95,5239163,5239287,status
1780565924.6791735,98.58037519454956,ils,100,5239212,5239287,status
1780565929.575935,103.47713685035706,ils,105,5239169,5239287,status
1780565934.4315403,108.3327419757843,ils,110,5239235,5239287,status
1780565939.299303,113.20050525665283,ils,115,5239282,5239287,status
1780565940.3018544,114.20305609703064,ils,116,5239387,5239387,new_best
1780565941.27664,115.17784142494202,ils,117,5239413,5239413,new_best
1780565944.1817703,118.08297204971313,ils,120,5239334,5239413,status
1780565949.1201613,123.02136278152466,ils,125,5239383,5239413,status
1780565951.0491254,124.95032668113708,ils,127,5239429,5239429,new_best
1780565952.0608673,125.96206903457642,ils,128,5239444,5239444,new_best
1780565953.073164,126.974365234375,ils,129,5239454,5239454,new_best
1780565954.046283,127.94748497009277,ils,130,5239485,5239485,new_best
1780565954.051575,127.95277738571167,ils,130,5239485,5239485,status
1780565955.0499666,128.9511682987213,ils,131,5239496,5239496,new_best
1780565956.0131383,129.9143397808075,ils,132,5239503,5239503,new_best
1780565957.0250628,130.92626452445984,ils,133,5239510,5239510,new_best
1780565957.9912531,131.8924548625946,ils,134,5239526,5239526,new_best
1780565958.950916,132.85211777687073,ils,135,5239488,5239526,status
1780565963.847018,137.74821972846985,ils,140,5239463,5239526,status
1780565966.79267,140.6938714981079,ils,143,5239549,5239549,new_best
1780565967.7600946,141.66129660606384,ils,144,5239569,5239569,new_best
1780565968.762617,142.66381883621216,ils,145,5239574,5239574,new_best
1780565968.7678044,142.66900610923767,ils,145,5239574,5239574,status
1780565970.738669,144.63987040519714,ils,147,5239602,5239602,new_best
1780565971.7104194,145.6116213798523,ils,148,5239603,5239603,new_best
1780565973.664352,147.56555366516113,ils,150,5239617,5239617,new_best
1780565973.669724,147.57092547416687,ils,150,5239617,5239617,status
1780565974.6408072,148.54200863838196,ils,151,5239619,5239619,new_best
1780565975.5992446,149.5004460811615,ils,152,5239642,5239642,new_best
1780565976.6073985,150.5085997581482,ils,153,5239651,5239651,new_best
1780565977.6212072,151.52240872383118,ils,154,5239673,5239673,new_best
1780565978.639135,152.5403368473053,ils,155,5239694,5239694,new_best
1780565978.6440592,152.54526114463806,ils,155,5239694,5239694,status
1780565983.625654,157.52685594558716,ils,160,5239505,5239694,status
1780565988.6102757,162.51147770881653,ils,165,5239677,5239694,status
1780565992.476669,166.37787055969238,ils,169,5239698,5239698,new_best
1780565993.4882114,167.38941287994385,ils,170,5239709,5239709,new_best
1780565993.493618,167.39482021331787,ils,170,5239709,5239709,status
1780565994.5046666,168.40586829185486,ils,171,5239710,5239710,new_best
1780565996.4800649,170.38126635551453,ils,173,5239759,5239759,new_best
1780565998.453879,172.35508060455322,ils,175,5239759,5239759,status
1780565999.4646,173.36580157279968,ils,176,5239760,5239760,new_best
1780566000.4257696,174.32697105407715,ils,177,5239781,5239781,new_best
1780566001.3931708,175.2943730354309,ils,178,5239784,5239784,new_best
1780566003.3163018,177.21750330924988,ils,180,5239760,5239784,status
1780566008.2220516,182.12325310707092,ils,185,5239797,5239797,new_best
1780566008.2265098,182.12771153450012,ils,185,5239797,5239797,status
1780566013.0892556,186.99045729637146,ils,190,5239797,5239797,status
1780566018.046988,191.9481897354126,ils,195,5239787,5239797,status
1780566022.8916898,196.79289150238037,ils,200,5239789,5239797,status
1780566024.9101863,198.8113877773285,ils,202,5239811,5239811,new_best
1780566025.8879433,199.7891447544098,ils,203,5239832,5239832,new_best
1780566026.8569322,200.75813341140747,ils,204,5239843,5239843,new_best
1780566027.824756,201.72595715522766,ils,205,5239837,5239843,status
1780566028.7885625,202.68976402282715,ils,206,5239845,5239845,new_best
1780566032.7008486,206.60205006599426,ils,210,5239816,5239845,status
1780566037.550629,211.45183062553406,ils,215,5239823,5239845,status
1780566039.541691,213.44289255142212,ils,217,5239848,5239848,new_best
1780566042.4204001,216.32160210609436,ils,220,5239780,5239848,status
1780566047.2623706,221.16357231140137,ils,225,5239769,5239848,status
1780566052.1276557,226.02885723114014,ils,230,5239802,5239848,status
1780566056.9906151,230.89181661605835,ils,235,5239795,5239848,status
1780566061.9330187,235.83422017097473,ils,240,5239714,5239848,status
1780566066.8528252,240.75402641296387,ils,245,5239885,5239885,new_best
1780566066.8578067,240.7590081691742,ils,245,5239885,5239885,status
1780566067.827222,241.72842359542847,ils,246,5239898,5239898,new_best
1780566068.8415873,242.74278903007507,ils,247,5239899,5239899,new_best
1780566069.8224595,243.72366094589233,ils,248,5239916,5239916,new_best
1780566070.7848573,244.68605947494507,ils,249,5239930,5239930,new_best
1780566071.7923515,245.69355297088623,ils,250,5239943,5239943,new_best
1780566071.7979765,245.6991789340973,ils,250,5239943,5239943,status
1780566073.7463486,247.64755058288574,ils,252,5239944,5239944,new_best
1780566076.7443151,250.64551711082458,ils,255,5239825,5239944,status
1780566081.677225,255.57842707633972,ils,260,5239835,5239944,status
1780566086.580156,260.4813585281372,ils,265,5239863,5239944,status
