timestamp,elapsed_s,phase,round,current_score,best_score,event
1780567617.6056783,7.189949989318848,construction,0,5340296,5340296,initial
1780567617.6060202,0.0003216266632080078,initial_ls,0,5340296,5340296,skipped
1780567619.4915512,1.885852575302124,ils,2,5348248,5348248,new_best
1780567622.3965242,4.790825605392456,ils,5,5343950,5348248,status
1780567627.1859956,9.580297231674194,ils,10,5348248,5348248,status
1780567631.9648414,14.359143018722534,ils,15,5348248,5348248,status
1780567636.7862422,19.180544137954712,ils,20,5348248,5348248,status
1780567641.5573092,23.951610803604126,ils,25,5348248,5348248,status
1780567646.263346,28.657647132873535,ils,30,5348248,5348248,status
1780567656.5254738,38.91977524757385,restart,1,5348248,5348248,restart
1780567658.4009945,40.79529571533203,ils,35,5348248,5348248,status
1780567663.0613942,45.455695390701294,ils,40,5348248,5348248,status
1780567667.724067,50.11836838722229,ils,45,5342498,5348248,status
1780567672.4045377,54.79883885383606,ils,50,5348248,5348248,status
1780567677.074628,59.46892976760864,ils,55,5348248,5348248,status
1780567681.7427447,64.13704586029053,ils,60,5348248,5348248,status
1780567691.046135,73.44043636322021,restart,2,5348248,5348248,restart
1780567693.8572035,76.25150489807129,ils,65,5348248,5348248,status
1780567698.5187747,80.91307616233826,ils,70,5348248,5348248,status
1780567706.712335,89.10663652420044,restart,3,5348248,5348248,restart
1780567710.460787,92.85508847236633,ils,75,5348248,5348248,status
1780567715.1162848,97.51058602333069,ils,80,5343950,5348248,status
1780567716.3224843,98.71678566932678,restart,4,5348248,5348248,restart
1780567720.948102,103.34240317344666,ils,85,5348248,5348248,status
1780567725.8912148,108.28551602363586,restart,5,5323174,5348248,restart
1780567726.8308938,109.22519516944885,ils,90,5323174,5348248,status
1780567731.505863,113.90016436576843,ils,95,5323174,5348248,status
1780567735.5271606,117.92146182060242,restart,6,5348248,5348248,restart
1780567737.3861182,119.78041958808899,ils,100,5348248,5348248,status
1780567742.0563698,124.45067119598389,ils,105,5348248,5348248,status
1780567746.7162292,129.1105306148529,ils,110,5348248,5348248,status
1780567751.384075,133.7783761024475,ils,115,5339797,5348248,status
1780567756.0383666,138.43266773223877,ils,120,5348248,5348248,status
1780567760.6442964,143.03859782218933,ils,125,5348248,5348248,status
1780567763.7218742,146.1161754131317,restart,7,5348248,5348248,restart
1780567766.5339196,148.92822098731995,ils,130,5343950,5348248,status
1780567771.2175138,153.6118152141571,ils,135,5348248,5348248,status
1780567775.8950412,158.28934264183044,ils,140,5348248,5348248,status
1780567777.1032016,159.4975028038025,restart,8,5340296,5348248,restart
1780567781.7736537,164.167955160141,ils,145,5339797,5348248,status
1780567786.4082108,168.80251216888428,ils,150,5348248,5348248,status
1780567791.0740461,173.46834754943848,ils,155,5348248,5348248,status
1780567795.7124763,178.1067774295807,ils,160,5348248,5348248,status
1780567800.3766181,182.7709195613861,ils,165,5348248,5348248,status
1780567805.0476692,187.44197058677673,ils,170,5348248,5348248,status
1780567809.7105544,192.10485577583313,ils,175,5343950,5348248,status
1780567814.3775961,196.77189755439758,ils,180,5348248,5348248,status
1780567819.0604825,201.45478415489197,ils,185,5348248,5348248,status
1780567820.2685738,202.66287517547607,restart,9,5348248,5348248,restart
1780567824.9223874,207.31668853759766,ils,190,5348248,5348248,status
1780567836.0190206,218.41332173347473,restart,10,5340296,5348248,restart
1780567836.9558215,219.3501226902008,ils,195,5345656,5348248,status
1780567841.6111557,224.00545692443848,ils,200,5348248,5348248,status
1780567846.2613847,228.65568614006042,ils,205,5348248,5348248,status
1780567850.8699884,233.26428985595703,ils,210,5348248,5348248,status
1780567853.957032,236.35133337974548,restart,11,5348248,5348248,restart
1780567856.7714424,239.16574382781982,ils,215,5348248,5348248,status
1780567861.419703,243.81400418281555,ils,220,5348248,5348248,status
1780567866.1102378,248.50453901290894,ils,225,5348248,5348248,status
1780567870.7946768,253.18897819519043,ils,230,5348248,5348248,status
1780567874.796766,257.1910672187805,restart,12,5348248,5348248,restart
1780567876.6312828,259.02558422088623,ils,235,5348248,5348248,status
1780567881.2327714,263.6270728111267,ils,240,5348248,5348248,status
1780567885.9291472,268.3234486579895,ils,245,5348248,5348248,status
1780567890.6147122,273.00901341438293,ils,250,5348248,5348248,status
1780567898.9300694,281.3243706226349,restart,13,5348248,5348248,restart
1780567902.6759107,285.0702121257782,ils,255,5343950,5348248,status
1780567907.352595,289.74689626693726,ils,260,5348248,5348248,status
1780567911.9995425,294.39384388923645,ils,265,5348248,5348248,status
1780567915.9942148,298.38851618766785,restart,14,5348248,5348248,restart
1780567917.8637762,300.25807762145996,ils,270,5343950,5348248,status
1780567922.516117,304.91041827201843,ils,275,5348248,5348248,status
1780567927.1765711,309.5708725452423,ils,280,5348248,5348248,status
1780567928.3814118,310.77571296691895,restart,15,5322233,5348248,restart
1780567933.095155,315.4894564151764,ils,285,5330120,5348248,status
1780567934.3053916,316.69969296455383,restart,16,5348248,5348248,restart
1780567938.9363842,321.33068561553955,ils,290,5348248,5348248,status
1780567943.84487,326.2391712665558,restart,17,5348248,5348248,restart
1780567944.7806458,327.1749470233917,ils,295,5348248,5348248,status
1780567949.4501424,331.8444435596466,ils,300,5348248,5348248,status
1780567953.4671054,335.8614065647125,restart,18,5345656,5348248,restart
1780567955.3386526,337.73295402526855,ils,305,5345656,5348248,status
1780567960.0041866,342.39848804473877,ils,310,5348248,5348248,status
1780567964.6558113,347.0501127243042,ils,315,5348248,5348248,status
1780567968.6493552,351.04365634918213,restart,19,5348248,5348248,restart
1780567970.5052748,352.8995759487152,ils,320,5343950,5348248,status
1780567975.1718915,357.5661928653717,ils,325,5348248,5348248,status
1780567979.809116,362.2034170627594,ils,330,5348248,5348248,status
1780567984.4647293,366.8590307235718,ils,335,5348248,5348248,status
1780567988.4298582,370.8241593837738,restart,20,5348248,5348248,restart
1780567990.2865186,372.68081998825073,ils,340,5348248,5348248,status
1780567994.9522321,377.34653329849243,ils,345,5348248,5348248,status
1780568005.9742007,388.3685019016266,restart,21,5345656,5348248,restart
1780568006.9142559,389.3085572719574,ils,350,5345656,5348248,status
1780568011.5657084,393.96000957489014,ils,355,5345656,5348248,status
1780568015.57054,397.96484112739563,restart,22,5348248,5348248,restart
1780568017.4250934,399.81939458847046,ils,360,5348248,5348248,status
1780568022.109385,404.50368642807007,ils,365,5348248,5348248,status
1780568026.7794132,409.17371439933777,ils,370,5348248,5348248,status
1780568031.4499352,413.84423661231995,ils,375,5348248,5348248,status
1780568040.8255851,423.219886302948,restart,23,5345656,5348248,restart
1780568043.6124594,426.0067608356476,ils,380,5348248,5348248,status
1780568048.249464,430.6437654495239,ils,385,5348248,5348248,status
1780568052.905362,435.2996633052826,ils,390,5348248,5348248,status
1780568057.5202775,439.91457867622375,ils,395,5348248,5348248,status
1780568062.1581316,444.5524332523346,ils,400,5348248,5348248,status
1780568066.1350079,448.52930903434753,restart,24,5348248,5348248,restart
1780568068.0103052,450.40460681915283,ils,405,5348248,5348248,status
1780568072.641612,455.0359134674072,ils,410,5348248,5348248,status
1780568075.7175803,458.1118817329407,restart,25,5345656,5348248,restart
1780568078.5091672,460.9034686088562,ils,415,5348248,5348248,status
1780568083.1632464,465.5575478076935,ils,420,5348248,5348248,status
1780568088.107215,470.5015163421631,restart,26,5348248,5348248,restart
1780568089.04186,471.4361615180969,ils,425,5348248,5348248,status
1780568093.697987,476.0922884941101,ils,430,5348248,5348248,status
1780568103.8691437,486.2634451389313,restart,27,5345656,5348248,restart
1780568105.7407594,488.1350607872009,ils,435,5345656,5348248,status
1780568110.3942025,492.78850388526917,ils,440,5348248,5348248,status
1780568115.0564134,497.45071482658386,ils,445,5348248,5348248,status
1780568116.2635221,498.6578233242035,restart,28,5348248,5348248,restart
1780568120.9043295,503.2986309528351,ils,450,5348248,5348248,status
1780568131.8659844,514.2602858543396,restart,29,5345656,5348248,restart
1780568132.8011901,515.1954913139343,ils,455,5345656,5348248,status
1780568137.4299426,519.8242437839508,ils,460,5348248,5348248,status
1780568142.0861456,524.4804468154907,ils,465,5348248,5348248,status
1780568145.1332414,527.527542591095,restart,30,5348248,5348248,restart
1780568147.8983612,530.2926623821259,ils,470,5348248,5348248,status
1780568152.535994,534.9302952289581,ils,475,5348248,5348248,status
1780568154.6780014,537.0723028182983,restart,31,5348248,5348248,restart
1780568158.4017239,540.7960250377655,ils,480,5348248,5348248,status
1780568163.0394082,545.4337096214294,ils,485,5348248,5348248,status
1780568169.3079293,551.7022304534912,restart,32,5345656,5348248,restart
1780568173.957517,556.3518183231354,ils,490,5348248,5348248,status
1780568178.6027699,560.9970715045929,ils,495,5348248,5348248,status
1780568180.7256398,563.11994099617,restart,33,5322233,5348248,restart
1780568184.441994,566.8362953662872,ils,500,5330120,5348248,status
1780568185.665557,568.059858083725,restart,34,5115281,5348248,restart
1780568190.3252814,572.7195827960968,ils,505,5186656,5348248,status
1780568194.9718635,577.3661649227142,ils,510,5224280,5348248,status
1780568199.9242184,582.3185195922852,restart,35,5348248,5348248,restart
1780568200.8444972,583.2387986183167,ils,515,5348248,5348248,status
1780568205.4826667,587.8769681453705,ils,520,5348248,5348248,status
1780568209.6702828,592.0645842552185,ils,525,5348248,5348248,status
1780568211.7574077,594.1517088413239,restart,36,5317960,5348248,restart
1780568213.1261184,595.5204195976257,ils,530,5323174,5348248,status
1780568214.0160713,596.4103729724884,restart,37,5111385,5348248,restart
1780568215.2195625,597.6138639450073,restart,38,5323174,5348248,restart
