dataset,instance_name,books,libraries,days,book_occurrences,available_books,available_score,avg_book_value,avg_frequency,avg_signup,avg_rate,max_books_in_library
google_hashcode,b_read_on.txt,100000,100,1000,100000,100000,10000000,100.0,1.0,11.81,1.0,1000
google_hashcode,c_incunabula.txt,100000,10000,100000,150282,77660,23372244,300.76415,1.935127478753541,506.0797,49511.3775,20
google_hashcode,d_tough_choices.txt,78600,30000,30001,220800,78600,5109000,65.0,2.8091603053435112,2.0,1.0,14
google_hashcode,e_so_many_books.txt,100000,1000,200,491942,99264,12457261,125.48648,4.955895390070922,5.432,1.494,1000
google_hashcode,f_libraries_of_the_world.txt,100000,1000,700,509342,99425,39885586,401.11142,5.122876540105607,166.192,7.467,1000
real_world,B1.5k_L20_D40.txt,1500,20,40,6729,1493,506494,339.672,4.507032819825854,17.75,94.5,594
real_world,B1000k_L115_D230.txt,1000000,115,230,653038,480544,360585201,750.184815,1.3589556835586336,41.38260869565217,1574.591304347826,9996
real_world,B100_L9_D18.txt,100,9,18,388,100,6246,62.46,3.88,9.444444444444445,20.0,60
real_world,B100k_L600_D28.txt,100000,600,28,25710,20718,10507418,505.93661,1.2409498986388647,10.006666666666666,22.256666666666668,80
real_world,B1200k_L120_D240.txt,1200000,120,240,702832,533342,400075511,750.0200916666666,1.3177885859354785,40.88333333333333,1564.3,9739
real_world,B120k_L80_D160.txt,120000,80,160,382766,115484,74459509,644.9053666666666,3.314450486647501,31.925,891.7875,9902
real_world,B12k_L45_D90.txt,12000,45,90,72683,11989,6417055,535.2294166666667,6.062473934439903,25.2,304.8888888888889,2996
real_world,B1400k_L125_D250.txt,1400000,125,250,735861,573143,444248279,774.961795,1.2839047148791838,41.904,1563.408,9977
real_world,B150_L8_D10.txt,150,8,10,383,147,12888,88.22666666666667,2.6054421768707483,8.375,28.75,66
real_world,B1600k_L130_D260.txt,1600000,130,260,754777,602334,475853529,789.94102,1.2530871576235112,42.83846153846154,1603.4076923076923,9993
real_world,B1800k_L135_D270.txt,1800000,135,270,839611,671627,537372194,800.0103694444444,1.250115019199645,43.58518518518518,1740.4814814814815,9943
real_world,B180k_L85_D170.txt,180000,85,170,433329,164559,108190430,657.5397111111112,2.6332743879095037,32.48235294117647,1026.3411764705882,9862
real_world,B18k_L50_D100.txt,18000,50,100,116409,17984,10071522,560.1090555555555,6.47292037366548,26.0,381.16,3967
real_world,B1k_L18_D17.txt,1000,18,17,4307,994,283465,285.161,4.332997987927565,15.944444444444445,64.61111111111111,438
real_world,B2.5k_L25_D50.txt,2500,25,50,11228,2486,991500,398.762,4.516492357200322,18.52,118.16,723
