status,algorithm,run_label,variant,component,omitted_operator,instance,dataset,seed,param_set,total_budget_s,time_limit_s,init_max_time_s,initial_score,final_score,upper_bound,gap_to_bound_pct,improvement_pct,elapsed_s,output_path,log_csv,operator_stats_csv,git_commit,git_dirty,python_version,platform,error
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,34,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,611.273088,output/experiments_full/ILS_iRace/full/seed_034/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,23,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,611.298192,output/experiments_full/ILS_iRace/full/seed_023/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,56,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,615.486773,output/experiments_full/ILS_iRace/full/seed_056/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,1,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,615.532295,output/experiments_full/ILS_iRace/full/seed_001/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,45,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,615.740719,output/experiments_full/ILS_iRace/full/seed_045/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,12,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,615.811660,output/experiments_full/ILS_iRace/full/seed_012/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,78,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,611.056752,output/experiments_full/ILS_iRace/full/seed_078/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,67,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,611.238732,output/experiments_full/ILS_iRace/full/seed_067/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,100,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,614.661348,output/experiments_full/ILS_iRace/full/seed_100/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_1.txt,synthetic,89,irace_final,720.000000,600.000000,120.000000,267587,267587,267587,0.000000,0.000000,615.050776,output/experiments_full/ILS_iRace/full/seed_089/input/synthetic/synthetic_1.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
