seed,scale,tightness_param,effective_target_tightness,max_feasible_tightness,tightness_clipped,generation_attempt,tightness_gap,tightness_warning,template_core_ratio_mean,B,L,D,total_signup,actual_tightness,feasibility_ratio,effective_books_ratio,signup_mean,signup_std,signup_min,signup_max,ship_rate_mean,ship_rate_std,score_sum,score_mean,score_std,score_variance,score_cv,score_book_freq_corr,signup_ship_rate_corr,signup_lib_size_corr,lib_size_ship_rate_corr,jaccard_overlap_mean,book_coverage,book_duplication_rate,lib_size_mean,lib_size_std,score_mean_delta_pct,score_cv_delta,signup_mean_delta_pct,ship_rate_mean_delta_pct,lib_size_mean_delta_pct,jaccard_delta,score_book_freq_corr_delta,signup_ship_rate_corr_delta,signup_lib_size_corr_delta,lib_size_ship_rate_corr_delta
b,0.6,0.08,0.08,1.0,0,0,0.0006,0,0.1964,71173,69,59,743,0.0794,59.0,0.081,10.77,6.52,1,25,1.0,0.0,7117202,100.0,12.58,158.19,0.1258,0.2111,0.0,0.0996,0.0,0.0157,0.3491,0.1068,595.19,94.13,0.0,0.1258,-8.8061,0.0,-40.481,0.0157,0.2111,0.0,0.0996,0.0
b,0.6,0.12,0.12,1.0,0,0,0.0002,0,0.1709,64950,61,81,676,0.1198,81.0,0.1187,11.08,6.61,1,25,1.0,0.0,6495033,100.0,12.63,159.5,0.1263,0.206,0.0,0.1704,0.0,0.017,0.3344,0.1018,588.89,84.97,0.0,0.1263,-6.1812,0.0,-41.111,0.017,0.206,0.0,0.1704,0.0
b,0.6,0.2,0.2,1.0,0,0,0.0,0,0.185,70743,62,128,640,0.2,128.0,0.1912,10.32,6.2,1,23,1.0,0.0,7074282,100.0,12.55,157.54,0.1255,0.2215,0.0,0.0162,0.0,0.0159,0.3305,0.0988,615.39,92.62,0.0,0.1255,-12.6164,0.0,-38.461,0.0159,0.2215,0.0,0.0162,0.0
b,0.75,0.08,0.08,1.0,0,0,0.0008,0,0.22,83201,77,65,821,0.0792,65.0,0.0749,10.66,6.04,1,25,1.0,0.0,8320090,100.0,12.61,159.11,0.1261,0.2068,0.0,-0.1936,0.0,0.0152,0.3868,0.1272,725.6,93.96,0.0,0.1261,-9.7375,0.0,-27.44,0.0152,0.2068,0.0,-0.1936,0.0
b,0.75,0.12,0.12,1.0,0,0,0.0,0,0.2324,89643,74,98,817,0.12,98.0,0.1154,11.04,5.74,1,25,1.0,0.0,8964214,100.0,12.6,158.68,0.126,0.2105,0.0,-0.1161,0.0,0.0146,0.3689,0.1153,753.62,114.63,0.0,0.126,-6.5199,0.0,-24.638,0.0146,0.2105,0.0,-0.1161,0.0
b,0.75,0.2,0.2,1.0,0,0,0.0008,0,0.2364,88207,86,199,999,0.1992,199.0,0.2449,11.62,6.2,1,23,1.0,0.0,8820696,100.0,12.61,158.92,0.1261,0.2196,0.0,0.0324,0.0,0.0162,0.4153,0.1447,765.29,111.95,0.0,0.1261,-1.6088,0.0,-23.471,0.0162,0.2196,0.0,0.0324,0.0
b,0.9,0.08,0.08,1.0,0,0,0.0002,0,0.2522,95532,93,84,1052,0.0798,84.0,0.0783,11.31,6.21,1,25,1.0,0.0,9553123,100.0,12.62,159.18,0.1262,0.2298,0.0,0.1843,0.0,0.0169,0.4753,0.1806,928.37,126.87,0.0,0.1262,-4.2337,0.0,-7.163,0.0169,0.2298,0.0,0.1843,0.0
b,0.9,0.12,0.12,1.0,0,0,0.0007,0,0.228,86297,96,132,1106,0.1193,132.0,0.1341,11.52,6.41,1,25,1.0,0.0,8629728,100.0,12.59,158.62,0.1259,0.2325,0.0,0.0591,0.0,0.0188,0.4986,0.2033,898.42,142.24,0.0,0.1259,-2.4555,0.0,-10.158,0.0188,0.2325,0.0,0.0591,0.0
b,0.9,0.2,0.2,1.0,0,0,0.0005,0,0.2606,100000,102,229,1148,0.1995,229.0,0.2367,11.25,6.35,1,26,1.0,0.0,9999930,100.0,12.57,157.9,0.1257,0.2361,0.0,0.0447,0.0,0.0169,0.4851,0.1882,919.88,140.08,0.0,0.1257,-4.7417,0.0,-8.012,0.0169,0.2361,0.0,0.0447,0.0
c,0.6,0.08,0.0347,0.0347,1,0,0.0,0,0.3342,70811,5746,100000,2881251,0.0347,11111.1111,1.0,501.44,297.06,9,1236,48910.42,29397.68,21298017,300.77,177.23,31409.37,0.5892,0.1213,-0.0036,0.0012,0.0087,0.0,0.4581,0.1611,8.5,2.3,0.0033,0.0145,-0.9169,-1.2138,-43.4464,0.0,0.1208,0.0048,-0.0011,0.0058
c,0.6,0.12,0.0336,0.0336,1,0,0.0,0,0.3335,54838,5880,99999,2973628,0.0336,14285.5714,1.0,505.72,298.95,7,1232,49160.91,29160.75,16493785,300.77,177.35,31453.78,0.5897,0.1271,-0.0153,-0.028,-0.0002,0.0,0.5487,0.2342,8.55,2.31,0.0033,0.015,-0.0711,-0.7079,-43.1138,0.0,0.1266,-0.0069,-0.0303,-0.0031
